,line_sequence,data_mode
IMG_0028,11,test
IMG_0029,11,train
IMG_0030,10,train
IMG_0031,11,train
IMG_0032,10,train
IMG_0033,11,val
IMG_0034,11,train
IMG_0035,11,train
IMG_0036,10,train
IMG_0037,11,train
IMG_0038,11,train
IMG_0039,11,train
IMG_0040,11,train
IMG_0041,10,train
IMG_0042,11,test
IMG_0043,11,train
IMG_0044,11,train
IMG_0045,11,train
IMG_0046,11,test
IMG_0047,11,val
IMG_0079,11,test
IMG_0080,11,train
IMG_0081,11,train
IMG_0082,11,train
IMG_0083,11,train
IMG_0084,10,val
IMG_0085,11,train
IMG_0086,11,train
IMG_0087,10,val
IMG_0088,10,train
IMG_0089,10,val
IMG_0090,10,train
IMG_0091,10,test
IMG_0092,10,train
IMG_0107,10,test
IMG_0108,10,val
IMG_0125,11,train
IMG_0131,11,test
IMG_0132,11,test
IMG_0133,10,train
IMG_0134,10,train
IMG_0135,10,train
IMG_0136,10,train
IMG_0145,11,train
IMG_0146,11,train
IMG_0147,10,train
IMG_9730,10,train
IMG_9731,10,test
IMG_9732,10,test
IMG_9733,10,train
IMG_9734,10,train
IMG_9735,10,train
IMG_9736,11,train
IMG_9737,11,test
IMG_9738,10,test
IMG_9739,10,test
IMG_0109,10,train
IMG_0110,10,train
IMG_0111,11,train
IMG_0112,11,test
IMG_0113,11,train
IMG_0114,10,test
IMG_0115,11,test
IMG_0116,10,train
IMG_0117,10,train
IMG_0118,10,train
IMG_0121,11,test
IMG_0122,11,train
IMG_0123,10,train
IMG_0124,10,test
IMG_0126,11,val
IMG_0127,10,train
IMG_0128,10,train
IMG_0129,10,test
IMG_0137,10,test
IMG_0138,10,val
IMG_0139,10,val
IMG_0140,10,train
IMG_0142,11,test
IMG_0143,11,train
IMG_0144,11,train
IMG_0233,11,train
IMG_0234,10,train
IMG_0235,11,val
IMG_0236,10,val
IMG_0568,10,test
IMG_0569,11,train
IMG_0570,11,val
IMG_0571,11,val
IMG_0572,11,train
IMG_0573,10,train
IMG_0574,11,train
IMG_0575,10,val
IMG_0576,10,train
IMG_0653,10,train
IMG_0654,10,train
IMG_0655,11,test
IMG_0656,10,val
IMG_0657,10,train
IMG_0658,10,train
IMG_0659,10,train
IMG_0660,10,train
IMG_0661,10,train
IMG_0662,11,train
IMG_0663,10,test
IMG_0664,10,val
IMG_0666,10,train
IMG_0667,10,test
IMG_0668,10,train
IMG_0669,10,train
IMG_0670,10,train
IMG_0671,10,train
