,line_sequence,data_mode
62864402522__8CDDC4FB-4C59-463B-BE9C-BC96B947704B,11,train
IMG_0686,11,train
IMG_0687,11,train
IMG_0688,11,val
IMG_0689,10,train
IMG_0690,11,train
IMG_0691,11,val
IMG_0692,11,train
IMG_0695,11,train
IMG_0696,11,test
IMG_0697,11,train
IMG_0698,11,train
IMG_0699,11,train
IMG_0700,11,test
IMG_0706,11,train
IMG_0707,11,train
IMG_0708,10,val
IMG_0709,11,train
IMG_0710,11,val
IMG_0711,11,train
IMG_0712,11,test
IMG_0713,11,train
IMG_0714,11,train
IMG_0715,11,val
IMG_0716,11,train
IMG_0717,11,train
IMG_0721,11,val
IMG_0722,11,train
IMG_0723,11,train
IMG_0724,11,train
IMG_0725,11,test
IMG_0726,11,train
IMG_0727,11,val
IMG_0728,11,test
IMG_0729,11,train
IMG_0730,11,train
IMG_0731,11,test
IMG_0732,11,train
IMG_0733,11,train
IMG_0734,11,train
IMG_0735,11,train
IMG_0736,11,train
IMG_0737,11,train
IMG_0738,11,train
IMG_0739,11,train
IMG_0740,11,train
IMG_0741,11,test
IMG_0745,11,val
IMG_0746,11,test
IMG_0747,11,train
IMG_0748,11,test
IMG_0749,11,test
IMG_0750,11,train
IMG_0751,11,train
IMG_0752,10,test
IMG_0753,11,val
IMG_0754,10,train
IMG_0758,11,train
IMG_0759,11,train
IMG_0762,11,val
IMG_0764,11,test
IMG_0765,11,train
IMG_0766,11,train
IMG_0767,11,train
IMG_0770,11,train
IMG_0771,11,train
IMG_0772,10,train
IMG_0773,10,train
IMG_0774,11,val
IMG_0775,10,train
IMG_0776,11,train
IMG_0780,11,train
IMG_0781,10,test
IMG_0782,11,test
IMG_0783,11,train
IMG_0784,11,train
IMG_0785,11,val
IMG_0786,11,train
IMG_1083,11,train
IMG_1084,11,test
IMG_1085,10,train
IMG_1086,10,train
IMG_1087,11,test
IMG_1088,11,test
IMG_1089,11,train
IMG_1090,11,val
IMG_1091,10,train
IMG_1092,10,val
IMG_1093,10,test
IMG_1094,10,train
IMG_1095,10,train
IMG_1096,10,test
IMG_1097,10,train
IMG_1098,10,test
IMG_1099,11,test
IMG_1100,00,train
IMG_1102,00,val
IMG_1103,10,train
IMG_1104,10,train
IMG_1105,10,train
IMG_1106,10,train
IMG_1107,11,val
IMG_1108,11,test
IMG_1109,10,train
IMG_1110,10,test
IMG_1111,11,train
IMG_1112,11,train
IMG_1113,11,train
IMG_1114,11,train
IMG_1115,10,test
IMG_1116,10,train
IMG_1117,10,train
IMG_1118,10,val
IMG_1119,10,test
IMG_1120,10,train
IMG_1121,10,train
IMG_1122,10,test
IMG_1123,11,test
IMG_1124,00,test
IMG_1126,00,train
IMG_1127,10,train
IMG_1128,10,train
IMG_1129,10,train
IMG_1130,10,train
IMG_1393,10,val
IMG_1394,10,train
IMG_1395,10,train
IMG_1396,10,train
IMG_1397,11,test
IMG_1398,11,val
IMG_1399,10,val
IMG_1400,10,val
IMG_1401,10,val
IMG_1402,10,test
IMG_1403,10,val
IMG_1404,10,train
IMG_1405,10,train
IMG_1406,10,train
IMG_1407,10,train
IMG_1408,10,train
IMG_1409,11,train
IMG_1410,11,train
IMG_1411,10,val
IMG_1412,10,val
IMG_1413,10,train
IMG_1414,10,train
IMG_1415,10,train
IMG_1416,10,train
IMG_1417,10,test
IMG_1418,11,train
IMG_1419,11,test
IMG_1420,11,train
IMG_1421,11,train
IMG_1422,11,train
IMG_1423,11,train
IMG_1424,11,train
IMG_1425,10,train
IMG_1426,10,train
IMG_1427,11,val
IMG_1428,11,train
IMG_1429,10,train
IMG_1430,10,test
IMG_1431,10,train
IMG_1432,10,train
IMG_1433,10,train
IMG_1434,10,test
IMG_1435,11,val
IMG_1436,11,train
IMG_1437,10,val
IMG_1438,10,test
IMG_1439,11,test
IMG_1440,11,train
IMG_1441,11,train
IMG_1442,11,val
IMG_1443,11,train
IMG_1444,11,val
IMG_1445,10,train
IMG_1446,10,train
IMG_1447,11,test
IMG_1448,11,train
IMG_1449,10,val
IMG_1450,11,train
IMG_1451,10,val
IMG_1452,10,train
IMG_1453,10,train
IMG_1454,10,train
IMG_1455,10,train
IMG_1456,10,train
IMG_1457,11,train
IMG_1458,11,train
IMG_1459,10,val
IMG_1460,10,train
IMG_1461,10,test
IMG_1462,10,train
IMG_1463,10,test
IMG_1464,10,test
IMG_1465,10,train
IMG_1466,10,train
IMG_1467,10,val
IMG_1468,10,train
IMG_1469,10,train
IMG_1470,10,train
IMG_1473,10,test
IMG_1474,10,train
