filenames,zone_ndx,targets,predictions
IMG_0028,1,1,0
IMG_0029,1,1,0
IMG_0033,1,1,0
IMG_0034,1,1,0
IMG_0035,1,1,0
IMG_0037,1,1,0
IMG_0039,1,1,0
IMG_0040,1,1,0
IMG_0042,1,1,0
IMG_0043,1,1,0
IMG_0044,1,1,0
IMG_0045,1,1,0
IMG_0046,1,1,0
IMG_0047,1,1,0
IMG_0079,1,1,0
IMG_0082,1,1,0
IMG_0083,1,1,0
IMG_0085,1,1,0
IMG_0086,1,1,0
IMG_0125,1,1,0
IMG_0132,1,1,0
IMG_0146,1,1,0
IMG_9736,1,1,0
IMG_0111,1,1,0
IMG_0113,1,1,0
IMG_0115,1,1,0
IMG_0122,1,1,0
IMG_0233,1,1,0
IMG_0235,1,1,0
IMG_0571,1,1,0
IMG_0572,1,1,0
IMG_0655,1,1,0
IMG_0662,1,1,0
IMG_0682,1,1,0
IMG_0905,1,1,0
IMG_0906,1,1,0
IMG_0942,1,1,0
IMG_0974,1,1,0
IMG_1023,1,1,0
IMG_1042,1,1,0
IMG_0708,1,0,1
IMG_0709,1,1,0
IMG_0717,1,1,0
IMG_0753,1,1,0
IMG_0767,1,1,0
IMG_0786,1,1,0
IMG_1083,1,1,0
IMG_1084,1,1,0
IMG_1107,1,1,0
IMG_1108,1,1,0
IMG_1113,1,1,0
IMG_1418,1,1,0
IMG_1450,1,1,0
IMG_1457,1,1,0
