,data_mode
IMG_0776,train
IMG_0688,val
IMG_1434,train
IMG_0689,train
IMG_1458,test
IMG_1414,test
IMG_0708,train
IMG_0765,train
IMG_1464,test
IMG_1474,train
IMG_0772,train
IMG_0721,train
IMG_0686,test
IMG_1400,train
IMG_0710,test
IMG_1121,train
IMG_0735,train
IMG_0758,train
IMG_1104,train
IMG_1462,train
IMG_0731,val
IMG_0750,test
IMG_0754,train
IMG_0715,val
IMG_0732,train
IMG_0722,train
IMG_0699,train
IMG_0716,train
IMG_0687,train
IMG_1456,test
IMG_0785,train
IMG_0690,val
IMG_0773,train
IMG_0752,val
62864402522__8CDDC4FB-4C59-463B-BE9C-BC96B947704B,val
IMG_1118,train
IMG_1098,train
IMG_1090,val
IMG_1102,test
IMG_0712,train
IMG_0745,test
IMG_0771,train
IMG_0780,train
