,data_mode
IMG_0257,train
IMG_1360,train
IMG_0262,train
IMG_1506,val
IMG_1373,val
SH00065_deb5c0f8ed7b4523a384125b635ce730,train
IMG_1048,train
IMG_1392,val
IMG_1555,train
IMG_1575,val
IMG_0271,train
IMG_1076,val
IMG_1548,train
IMG_1542,train
IMG_1337,train
IMG_1074,test
IMG_1077,train
IMG_0264,test
IMG_0255,val
IMG_0254,test
IMG_0267,val
IMG_1541,train
IMG_1372,test
IMG_0259,train
IMG_1569,train
IMG_1079,train
SH00065_8b8fc623f4254b2fb6b3830cac555aa5,test
IMG_0260,train
IMG_1338,test
IMG_0269,train
IMG_0263,train
IMG_1389,train
IMG_1388,train
IMG_0265,test
IMG_0261,train
IMG_1341,train
IMG_0258,train
IMG_0256,train
SH00065_2e86d3db0f7f4e53a0dc44ba540c5e4d,train
IMG_0268,test
